	token	경주빈도	전주빈도	빈도합	전주비율	경주비율
212	최소한	5	10	15	66.67%	33.33%
213	오후	10	5	15	33.33%	66.67%
214	주신	15	0	15	0.00%	100.00%
215	신라	15	0	15	0.00%	100.00%
216	경북	15	0	15	0.00%	100.00%
217	의견	10	5	15	33.33%	66.67%
218	인근	10	5	15	33.33%	66.67%
219	가이드	15	0	15	0.00%	100.00%
220	자동차	0	15	15	100.00%	0.00%
221	경주역	14	0	14	0.00%	100.00%
222	바다	4	10	14	71.43%	28.57%
223	월	9	5	14	35.71%	64.29%
224	중	5	9	14	64.29%	35.71%
225	앱	3	10	13	76.92%	23.08%
226	고민	13	0	13	0.00%	100.00%
227	내공	5	8	13	61.54%	38.46%
228	관람	13	0	13	0.00%	100.00%
229	옥	2	10	12	83.33%	16.67%
230	문자	7	5	12	41.67%	58.33%
231	남편	12	0	12	0.00%	100.00%
232	중순	7	5	12	41.67%	58.33%
233	정리	2	10	12	83.33%	16.67%
234	쭈니	6	5	11	45.45%	54.55%
235	예보	11	0	11	0.00%	100.00%
236	금요일	0	11	11	100.00%	0.00%
237	편안	10	1	11	9.09%	90.91%
238	필수	10	1	11	9.09%	90.91%
239	시외버스	5	6	11	54.55%	45.45%
240	일	5	5	10	50.00%	50.00%
241	대표	5	5	10	50.00%	50.00%
242	사이트	5	5	10	50.00%	50.00%
243	방학	5	5	10	50.00%	50.00%
244	미술관	5	5	10	50.00%	50.00%
245	문제	5	5	10	50.00%	50.00%
246	집	5	5	10	50.00%	50.00%
247	중간	5	5	10	50.00%	50.00%
248	독	5	5	10	50.00%	50.00%
249	제시	5	5	10	50.00%	50.00%
250	예산	5	5	10	50.00%	50.00%
251	입장료	5	5	10	50.00%	50.00%
252	원	5	5	10	50.00%	50.00%
253	아침	5	5	10	50.00%	50.00%
254	생활	5	5	10	50.00%	50.00%
255	시대	5	5	10	50.00%	50.00%
256	자	5	5	10	50.00%	50.00%
257	장	5	5	10	50.00%	50.00%
258	무리	0	10	10	100.00%	0.00%
259	현대	5	5	10	50.00%	50.00%
260	생략	0	10	10	100.00%	0.00%
261	영화제	0	10	10	100.00%	0.00%
262	연령	0	10	10	100.00%	0.00%
263	안내	0	10	10	100.00%	0.00%
264	순서	0	10	10	100.00%	0.00%
265	숙박	0	10	10	100.00%	0.00%
266	수단	0	10	10	100.00%	0.00%
267	소리	0	10	10	100.00%	0.00%
268	감	0	10	10	100.00%	0.00%
269	화	5	5	10	50.00%	50.00%
270	고려	0	10	10	100.00%	0.00%
271	난장	0	10	10	100.00%	0.00%
272	남	0	10	10	100.00%	0.00%
273	닭	0	10	10	100.00%	0.00%
274	랜드	0	10	10	100.00%	0.00%
275	복귀	0	10	10	100.00%	0.00%
276	비빔	0	10	10	100.00%	0.00%
277	완주	0	10	10	100.00%	0.00%
278	위	0	10	10	100.00%	0.00%
279	의	0	10	10	100.00%	0.00%
280	이벤트	0	10	10	100.00%	0.00%
281	호수	0	10	10	100.00%	0.00%
282	한국도로공사	0	10	10	100.00%	0.00%
283	토	0	10	10	100.00%	0.00%
284	후	5	5	10	50.00%	50.00%
285	크리스마스	0	10	10	100.00%	0.00%
286	커플	0	10	10	100.00%	0.00%
287	최고봉	0	10	10	100.00%	0.00%
288	초코파이	0	10	10	100.00%	0.00%
289	짐	0	10	10	100.00%	0.00%
290	지역	0	10	10	100.00%	0.00%
291	지난주	0	10	10	100.00%	0.00%
292	전시회	0	10	10	100.00%	0.00%
293	전동성당	0	10	10	100.00%	0.00%
294	자만	0	10	10	100.00%	0.00%
295	이상	0	10	10	100.00%	0.00%
296	대여	5	5	10	50.00%	50.00%
297	그때	5	5	10	50.00%	50.00%
298	사진	0	10	10	100.00%	0.00%
299	인원	10	0	10	0.00%	100.00%
300	절리	10	0	10	0.00%	100.00%
301	정복	10	0	10	0.00%	100.00%
302	제공	10	0	10	0.00%	100.00%
303	조절	10	0	10	0.00%	100.00%
304	주상	10	0	10	0.00%	100.00%
305	주제	10	0	10	0.00%	100.00%
306	중앙	10	0	10	0.00%	100.00%
307	책자	10	0	10	0.00%	100.00%
308	초등학생	10	0	10	0.00%	100.00%
309	초보	10	0	10	0.00%	100.00%
310	최적	10	0	10	0.00%	100.00%
311	출발	10	0	10	0.00%	100.00%
312	캐리	10	0	10	0.00%	100.00%
313	캐리어	10	0	10	0.00%	100.00%
314	쿠지	10	0	10	0.00%	100.00%
315	패딩	10	0	10	0.00%	100.00%
316	현지인	10	0	10	0.00%	100.00%
317	황	10	0	10	0.00%	100.00%
318	황남빵	10	0	10	0.00%	100.00%
319	황동	10	0	10	0.00%	100.00%
320	황성	10	0	10	0.00%	100.00%
321	기간	5	5	10	50.00%	50.00%
322	사투리	0	10	10	100.00%	0.00%
323	가실	5	5	10	50.00%	50.00%
324	계절	5	5	10	50.00%	50.00%
325	고속버스	5	5	10	50.00%	50.00%
326	교동	5	5	10	50.00%	50.00%
327	저번	10	0	10	0.00%	100.00%
328	관심	5	5	10	50.00%	50.00%
329	위치	10	0	10	0.00%	100.00%
330	본인	10	0	10	0.00%	100.00%
331	낮	10	0	10	0.00%	100.00%
332	눈	10	0	10	0.00%	100.00%
333	궁원	10	0	10	0.00%	100.00%
334	관광객	10	0	10	0.00%	100.00%
335	과	10	0	10	0.00%	100.00%
336	느낌	10	0	10	0.00%	100.00%
337	다면	10	0	10	0.00%	100.00%
338	단지	10	0	10	0.00%	100.00%
339	대상	10	0	10	0.00%	100.00%
340	대접	10	0	10	0.00%	100.00%
341	문화재	10	0	10	0.00%	100.00%
342	보문관광단지	10	0	10	0.00%	100.00%
343	경주로	10	0	10	0.00%	100.00%
344	부족	10	0	10	0.00%	100.00%
345	사월	10	0	10	0.00%	100.00%
346	시기	10	0	10	0.00%	100.00%
347	애인	10	0	10	0.00%	100.00%
348	양남	10	0	10	0.00%	100.00%
349	어르신	10	0	10	0.00%	100.00%
350	날짜	5	5	10	50.00%	50.00%
351	어머님	10	0	10	0.00%	100.00%
352	어사이즈	10	0	10	0.00%	100.00%
353	엑스포	10	0	10	0.00%	100.00%
354	오푸스	10	0	10	0.00%	100.00%
355	요금	10	0	10	0.00%	100.00%
356	요번	10	0	10	0.00%	100.00%
357	상황	4	5	9	55.56%	44.44%
358	학생	5	4	9	44.44%	55.56%
359	자가용	0	9	9	100.00%	0.00%
360	여성	9	0	9	0.00%	100.00%
361	정교	9	0	9	0.00%	100.00%
362	운영	9	0	9	0.00%	100.00%
363	여학생	0	8	8	100.00%	0.00%
364	목대	0	8	8	100.00%	0.00%
365	중요	8	0	8	0.00%	100.00%
366	여	5	3	8	37.50%	62.50%
367	음식점	0	8	8	100.00%	0.00%
368	추가	0	8	8	100.00%	0.00%
369	수원	0	8	8	100.00%	0.00%
370	감성	7	1	8	12.50%	87.50%
371	경관	5	3	8	37.50%	62.50%
372	자연	5	3	8	37.50%	62.50%
373	에서	7	0	7	0.00%	100.00%
374	첫날	7	0	7	0.00%	100.00%
375	황남	7	0	7	0.00%	100.00%
376	여행지	0	6	6	100.00%	0.00%
377	유적지	1	5	6	83.33%	16.67%
378	밑	6	0	6	0.00%	100.00%
379	테마	0	6	6	100.00%	0.00%
380	기상	6	0	6	0.00%	100.00%
381	어버이날	6	0	6	0.00%	100.00%
382	궁	0	5	5	100.00%	0.00%
383	교통수단	0	5	5	100.00%	0.00%
384	공방	0	5	5	100.00%	0.00%
385	편리	0	5	5	100.00%	0.00%
386	공연	0	5	5	100.00%	0.00%
387	공용	0	5	5	100.00%	0.00%
388	공장	0	5	5	100.00%	0.00%
389	관광공사	0	5	5	100.00%	0.00%
390	김선용	0	5	5	100.00%	0.00%
391	광주	0	5	5	100.00%	0.00%
392	교육	0	5	5	100.00%	0.00%
393	구용	0	5	5	100.00%	0.00%
394	그램	0	5	5	100.00%	0.00%
395	기프	0	5	5	100.00%	0.00%
396	군산	0	5	5	100.00%	0.00%
397	공간	0	5	5	100.00%	0.00%
398	기차표	0	5	5	100.00%	0.00%
399	기지	0	5	5	100.00%	0.00%
400	기관	0	5	5	100.00%	0.00%
401	굴	0	5	5	100.00%	0.00%
402	급	0	5	5	100.00%	0.00%
403	금액	0	5	5	100.00%	0.00%
404	평점	0	5	5	100.00%	0.00%
405	기회	0	5	5	100.00%	0.00%
406	휴가	0	5	5	100.00%	0.00%
407	고궁	0	5	5	100.00%	0.00%
408	하트	0	5	5	100.00%	0.00%
409	흐노	0	5	5	100.00%	0.00%
410	휴무	0	5	5	100.00%	0.00%
411	내부	0	5	5	100.00%	0.00%
412	회관	0	5	5	100.00%	0.00%
413	환급	0	5	5	100.00%	0.00%
414	현황	0	5	5	100.00%	0.00%
415	현재	0	5	5	100.00%	0.00%
416	현장	0	5	5	100.00%	0.00%
417	허락	0	5	5	100.00%	0.00%
418	해설	0	5	5	100.00%	0.00%
419	항목	0	5	5	100.00%	0.00%
420	한정식	0	5	5	100.00%	0.00%
421	하늘	0	5	5	100.00%	0.00%
422	경로	0	5	5	100.00%	0.00%
423	피큐어	0	5	5	100.00%	0.00%
424	플랫	0	5	5	100.00%	0.00%
425	가보세요	0	5	5	100.00%	0.00%
426	가운데	0	5	5	100.00%	0.00%
427	값	0	5	5	100.00%	0.00%
428	갤러리	0	5	5	100.00%	0.00%
429	거북	0	5	5	100.00%	0.00%
430	폼	0	5	5	100.00%	0.00%
431	걱정	0	5	5	100.00%	0.00%
432	건물	0	5	5	100.00%	0.00%
433	결정	0	5	5	100.00%	0.00%
434	결제	0	5	5	100.00%	0.00%
435	페스타	0	5	5	100.00%	0.00%
436	주문	0	5	5	100.00%	0.00%
437	내외	0	5	5	100.00%	0.00%
438	닝	0	5	5	100.00%	0.00%
439	욕조	0	5	5	100.00%	0.00%
440	요일	0	5	5	100.00%	0.00%
441	요약	0	5	5	100.00%	0.00%
442	요	0	5	5	100.00%	0.00%
443	왕복	0	5	5	100.00%	0.00%
444	오픈	0	5	5	100.00%	0.00%
445	예약금	0	5	5	100.00%	0.00%
446	예술	0	5	5	100.00%	0.00%
447	연인	0	5	5	100.00%	0.00%
448	지식	0	5	5	100.00%	0.00%
449	연못	0	5	5	100.00%	0.00%
450	연극	0	5	5	100.00%	0.00%
451	징	0	5	5	100.00%	0.00%
452	여행객	0	5	5	100.00%	0.00%
453	에도	0	5	5	100.00%	0.00%
454	억양	0	5	5	100.00%	0.00%
455	양식	0	5	5	100.00%	0.00%
456	애견	0	5	5	100.00%	0.00%
457	앞	0	5	5	100.00%	0.00%
458	알짜배기	0	5	5	100.00%	0.00%
459	천차만별	0	5	5	100.00%	0.00%
460	실시간	0	5	5	100.00%	0.00%
461	식비	0	5	5	100.00%	0.00%
462	시설	0	5	5	100.00%	0.00%
463	체증	0	5	5	100.00%	0.00%
464	스토리	0	5	5	100.00%	0.00%
465	스타	0	5	5	100.00%	0.00%
466	스로	0	5	5	100.00%	0.00%
467	슈퍼	0	5	5	100.00%	0.00%
468	운송	0	5	5	100.00%	0.00%
469	월요일	0	5	5	100.00%	0.00%
470	웨이팅	0	5	5	100.00%	0.00%
471	전주국	0	5	5	100.00%	0.00%
472	주만	0	5	5	100.00%	0.00%
473	조정	0	5	5	100.00%	0.00%
474	주박	0	5	5	100.00%	0.00%
475	주식	0	5	5	100.00%	0.00%
476	주이	0	5	5	100.00%	0.00%
477	조선	0	5	5	100.00%	0.00%
478	정감	0	5	5	100.00%	0.00%
479	주천	0	5	5	100.00%	0.00%
480	정	0	5	5	100.00%	0.00%
481	전통문화	0	5	5	100.00%	0.00%
482	전주식	0	5	5	100.00%	0.00%
483	전주시	0	5	5	100.00%	0.00%
484	전주비빔밥	0	5	5	100.00%	0.00%
485	전일	0	5	5	100.00%	0.00%
486	유명	0	5	5	100.00%	0.00%
487	전망	0	5	5	100.00%	0.00%
488	전라북도	0	5	5	100.00%	0.00%
489	전라	0	5	5	100.00%	0.00%
490	장단점	0	5	5	100.00%	0.00%
491	일식	0	5	5	100.00%	0.00%
492	중식	0	5	5	100.00%	0.00%
493	일반	0	5	5	100.00%	0.00%
494	중심	0	5	5	100.00%	0.00%
495	인당	0	5	5	100.00%	0.00%
496	이동은	0	5	5	100.00%	0.00%
497	의외	0	5	5	100.00%	0.00%
498	음료	0	5	5	100.00%	0.00%
499	지방	0	5	5	100.00%	0.00%
500	술값	0	5	5	100.00%	0.00%
501	순	0	5	5	100.00%	0.00%
502	수학	0	5	5	100.00%	0.00%
503	티	0	5	5	100.00%	0.00%
504	태교	0	5	5	100.00%	0.00%
505	물관	0	5	5	100.00%	0.00%
506	문의	0	5	5	100.00%	0.00%
507	토종	0	5	5	100.00%	0.00%
508	명품	0	5	5	100.00%	0.00%
509	맥	0	5	5	100.00%	0.00%
510	마감	0	5	5	100.00%	0.00%
511	통상	0	5	5	100.00%	0.00%
512	리의	0	5	5	100.00%	0.00%
513	려인	0	5	5	100.00%	0.00%
514	라	0	5	5	100.00%	0.00%
515	트레	0	5	5	100.00%	0.00%
516	동물	0	5	5	100.00%	0.00%
517	독일	0	5	5	100.00%	0.00%
518	반	0	5	5	100.00%	0.00%
519	도로공사	0	5	5	100.00%	0.00%
520	데이트	0	5	5	100.00%	0.00%
521	더클래식	0	5	5	100.00%	0.00%
522	팀조	0	5	5	100.00%	0.00%
523	대학	0	5	5	100.00%	0.00%
524	대옥	0	5	5	100.00%	0.00%
525	팔복	0	5	5	100.00%	0.00%
526	대둔산	0	5	5	100.00%	0.00%
527	당장	0	5	5	100.00%	0.00%
528	답장	0	5	5	100.00%	0.00%
529	주목적	0	5	5	100.00%	0.00%
530	다윈	0	5	5	100.00%	0.00%
531	다랭이	0	5	5	100.00%	0.00%
532	뮤	0	5	5	100.00%	0.00%
533	반양	0	5	5	100.00%	0.00%
534	수정	0	5	5	100.00%	0.00%
535	케이블카	0	5	5	100.00%	0.00%
536	수구	0	5	5	100.00%	0.00%
537	소요	0	5	5	100.00%	0.00%
538	소속	0	5	5	100.00%	0.00%
539	세일	0	5	5	100.00%	0.00%
540	세염	0	5	5	100.00%	0.00%
541	성미	0	5	5	100.00%	0.00%
542	선착순	0	5	5	100.00%	0.00%
543	침대	0	5	5	100.00%	0.00%
544	서신동	0	5	5	100.00%	0.00%
545	생일	0	5	5	100.00%	0.00%
546	새만금	0	5	5	100.00%	0.00%
547	상당	0	5	5	100.00%	0.00%
548	상담	0	5	5	100.00%	0.00%
549	코로나	0	5	5	100.00%	0.00%
550	방	0	5	5	100.00%	0.00%
551	사회	0	5	5	100.00%	0.00%
552	사용	0	5	5	100.00%	0.00%
553	불편	0	5	5	100.00%	0.00%
554	부분	0	5	5	100.00%	0.00%
555	콘	0	5	5	100.00%	0.00%
556	본점	0	5	5	100.00%	0.00%
557	보통	0	5	5	100.00%	0.00%
558	보리암	0	5	5	100.00%	0.00%
559	변호사	0	5	5	100.00%	0.00%
560	변호	0	5	5	100.00%	0.00%
561	킹	0	5	5	100.00%	0.00%
562	법률	0	5	5	100.00%	0.00%
563	방지	0	5	5	100.00%	0.00%
564	달인	0	5	5	100.00%	0.00%
565	인기	5	0	5	0.00%	100.00%
566	실행	5	0	5	0.00%	100.00%
567	배달	5	0	5	0.00%	100.00%
568	빙판길	5	0	5	0.00%	100.00%
569	비추	5	0	5	0.00%	100.00%
570	불안	5	0	5	0.00%	100.00%
571	분황사	5	0	5	0.00%	100.00%
572	부처	5	0	5	0.00%	100.00%
573	부부	5	0	5	0.00%	100.00%
574	부	5	0	5	0.00%	100.00%
575	봄바람	5	0	5	0.00%	100.00%
576	봄	5	0	5	0.00%	100.00%
577	벚꽃	5	0	5	0.00%	100.00%
578	법주	5	0	5	0.00%	100.00%
579	밤	5	0	5	0.00%	100.00%
580	역하	5	0	5	0.00%	100.00%
581	바탕	5	0	5	0.00%	100.00%
582	바베큐	5	0	5	0.00%	100.00%
583	바람	5	0	5	0.00%	100.00%
584	밀면	5	0	5	0.00%	100.00%
585	무열왕릉	5	0	5	0.00%	100.00%
586	메뉴	5	0	5	0.00%	100.00%
587	먹거리	5	0	5	0.00%	100.00%
588	매일	5	0	5	0.00%	100.00%
589	마지막	5	0	5	0.00%	100.00%
590	리조트	5	0	5	0.00%	100.00%
591	로또	5	0	5	0.00%	100.00%
592	빵	5	0	5	0.00%	100.00%
593	사지	5	0	5	0.00%	100.00%
594	새벽	5	0	5	0.00%	100.00%
595	선배	5	0	5	0.00%	100.00%
596	여동생	5	0	5	0.00%	100.00%
597	언덕	5	0	5	0.00%	100.00%
598	언니	5	0	5	0.00%	100.00%
599	어린애	5	0	5	0.00%	100.00%
600	어른	5	0	5	0.00%	100.00%
601	안내소	5	0	5	0.00%	100.00%
602	아버지	5	0	5	0.00%	100.00%
603	실제	5	0	5	0.00%	100.00%
604	신축	5	0	5	0.00%	100.00%
605	신상	5	0	5	0.00%	100.00%
606	식사	5	0	5	0.00%	100.00%
607	식대	5	0	5	0.00%	100.00%
608	시티투어	5	0	5	0.00%	100.00%
609	시즌	5	0	5	0.00%	100.00%
610	시내버스	5	0	5	0.00%	100.00%
611	시	5	0	5	0.00%	100.00%
612	술집	5	0	5	0.00%	100.00%
613	수학여행	5	0	5	0.00%	100.00%
614	수면	5	0	5	0.00%	100.00%
615	수	5	0	5	0.00%	100.00%
616	셍	5	0	5	0.00%	100.00%
617	세영	5	0	5	0.00%	100.00%
618	성수기	5	0	5	0.00%	100.00%
619	렌터카	5	0	5	0.00%	100.00%
620	랜드마크	5	0	5	0.00%	100.00%
621	동굴	5	0	5	0.00%	100.00%
622	공부	5	0	5	0.00%	100.00%
623	고택	5	0	5	0.00%	100.00%
624	경험담	5	0	5	0.00%	100.00%
625	경치	5	0	5	0.00%	100.00%
626	경우	5	0	5	0.00%	100.00%
627	경량	5	0	5	0.00%	100.00%
628	경기도	5	0	5	0.00%	100.00%
629	경경	5	0	5	0.00%	100.00%
630	결과	5	0	5	0.00%	100.00%
631	견	5	0	5	0.00%	100.00%
632	겨울	5	0	5	0.00%	100.00%
633	걸음	5	0	5	0.00%	100.00%
634	건강	5	0	5	0.00%	100.00%
635	객실	5	0	5	0.00%	100.00%
636	개화	5	0	5	0.00%	100.00%
637	개인	5	0	5	0.00%	100.00%
638	개별	5	0	5	0.00%	100.00%
639	감상	5	0	5	0.00%	100.00%
640	간식	5	0	5	0.00%	100.00%
641	간	5	0	5	0.00%	100.00%
642	가여	5	0	5	0.00%	100.00%
643	가시	5	0	5	0.00%	100.00%
644	가성	5	0	5	0.00%	100.00%
645	가본적	5	0	5	0.00%	100.00%
646	골	5	0	5	0.00%	100.00%
647	공유	5	0	5	0.00%	100.00%
648	동	5	0	5	0.00%	100.00%
649	구매	5	0	5	0.00%	100.00%
650	독채	5	0	5	0.00%	100.00%
651	도보이	5	0	5	0.00%	100.00%
